folio_u;tit_propio;nombre_edi;es_enlinea;catalogada;id_catalogo;nombre_largo;issn_e;issn_l;issn_imp;subtemas
20494;"Revista de curiosidad cultural destiempos.com";"Editorial Grupo Destiempos S. de R. L. de C.V";1;;;México;2007-7483;2007-7483;;"Antropología, Arte, Bellas artes, Ciencias sociales y humanidades, Cultura, Filosofía, Historia, Historia del arte, Lingüística, Literatura, Música, Museología, Pintura, Psicología, Humanidades, Teatro, Paleografía, Filología"
14248;"Revista de dibulgación en antropología aplicada";"Universidad Católica de Temuco. Centro de Estudios Socioculturales";0;;;Chile;;;0717-5868;Antropología
29246;"Revista de Educação, Saúde e Ciências do Xingu";"Universidade do Estado do Pará (UEPA)";1;;;Brasil;2675-2956;2675-2956;;"Antropología, Biología, Medicina, Multidisciplinarias, Salud pública, Danza"
28329;"Revista de Estudios de Antropología Sexual";"Instituto Nacional de Antropología e Historia";1;;;México;;1870-4255;1870-4255;Antropología
14396;"Revista de estudios marítimos y sociales";"Grupo de Estudios Sociales Marítimos, Universidad Nacional de Mar del Plata";0;;;Argentina;;1852-0669;1852-0669;"Antropología, Demografía, Etnología"
25699;"Revista de Estudos e Investigações Antropológicas.";"Universidade Federal de Pernambuco (UFPE)";1;;;Brasil;2446-6972;2446-6972;;"Antropología, Ciencias sociales y humanidades, Humanidades"
14469;"Revista de folklore";"Obra Social y Cultural de Caja España";0;;;España;;;0211-1810;Antropología
14515;"Revista de historia americana y argentina";"Universidad Nacional de Cuyo, Facultad de Filosofía y Letras, Instituto de Historia";1;1;5242;Argentina;2314-1549;0556-5960;0556-5960;"Antropología, Ciencias sociales y humanidades, Historia, Estudios locales, Estudios latinoamericanos, Estudios regionales"
21726;"Revista de História Bilros";"Universidade Estadual do Ceará, Centro de Humanidades, Coordenação do Curso de História";1;0;8791;Brasil;2357-8556;;;"Antropología, Arqueología, Educación, Etnología, Geografía, Historia, Historia de la ciencia, Museología, Relaciones internacionales, Religión, Sociología, Estudios locales, Prehistoria, Estudios latinoamericanos, Heráldica, Trabajo social, Estudios de género"
27401;"Revista de Investigación Forense";"Edición propia";1;;;Chile;0719-3815;0719-3815;0719-3815;"Antropología, Derecho penal, Derecho procesal, Odontología, Toxicología, Medicina legal"
29624;"Revista de Investigaciones sobre fronteras.";"Universidad Nacional de Buenos Aires- Universidad Nacional de Jujuy- Universidad Nacional de Misiones";1;;;Argentina;3072-7316;3072-7316;;"Antropología, Ciencias de la comunicación, Ciencias sociales y humanidades, Sociología, Defensa y seguridad, Estudios de género"
14691;"Revista de la Escuela de Antropología";"Escuela de Antropología; Facultad de Humanidades y Artes;Universidad Nacional de Rosario";0;0;5330;Argentina;;1852-1576;1852-1576;Antropología
21786;"Revista de las ciencias sociales";"Universidad Nacional Autónoma de Honduras. Facultad de Ciencias Sociales. Instituto de Investigaciones Sociales";0;;;Honduras;;2411-7358;2411-7358;"Antropología, Ciencias sociales y humanidades, Demografía, Historia"
